Stock Name,Day_Change_Percent,Previous_Close,Current_Price,Day_Low,Day_High,Low_52W,High_52W,Percent_Below_High,Suggestion,Market_Cap_Cr,Market_Cap,Industry,Stock_Name,Stock_Symbol,RSI,From_52W_High,Divergence_Signal
MINDA CORPORATION LIMITED (XNSE:MINDACORP),-1.03,587.35,581.3,578.05,589.75,445.05,619.95,6.23,WATCH,13824,,Automobiles & Auto Parts,,,,,
MAHINDRA AND MAHINDRA LIMITED (XNSE:M&M),-0.37,3636.7,3623.1,3614.6,3647.0,2425.0,3795.0,4.53,WATCH,436421,,Automobiles & Auto Parts,,,,,
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED (XNSE:MOTHERSON),-0.2,119.53,119.29,118.4,121.14,71.5,122.8,2.86,WATCH,126157,,Automobiles & Auto Parts,,,,,
MTAR TECHNOLOGIES LIMITED (XNSE:MTARTECH),-2.31,2450.7,2394.1,2383.8,2530.9,1155.6,2719.0,11.95,WATCH,7538,,"Machinery, Equipment & Components",,,,,
MUTHOOT FINANCE LIMITED (XNSE:MUTHOOTFIN),-0.2,3804.7,3797.0,3785.0,3845.0,1965.0,3890.0,2.39,WATCH,152747,,Banking Services,,,,,
NAVIN FLUORINE INTERNATIONAL LIMITED (XNSE:NAVINFLUOR),-1.69,5874.0,5774.5,5750.0,5916.0,3180.0,6223.0,7.21,WATCH,30100,,Chemicals,,,,,
NAZARA TECHNOLOGIES LIMITED (XNSE:NAZARA),-0.77,239.25,237.4,236.05,244.2,219.06,363.25,34.65,WATCH,8795,,Software & IT Services,,,,,
NESTLE INDIA LIMITED (XNSE:NESTLEIND),1.02,1259.7,1272.6,1251.4,1277.0,1055.0,1311.6,2.97,WATCH,242910,,Food & Tobacco,,,,,
NHPC Limited (XNSE:NHPC),0.71,77.81,78.36,77.28,79.17,71.0,92.34,15.14,FIRST HMC BUY,78160,,Electrical Utilities & IPPs,,,,,
THE NEW INDIA ASSURANCE COMPANY LIMITED (XNSE:NIACL),2.21,150.49,153.82,150.14,157.58,135.6,214.74,28.37,FIRST MC BUY,24801,,Insurance,,,,,
OIL AND NATURAL GAS CORPORATION LIMITED (XNSE:ONGC),0.33,233.77,234.53,233.05,235.28,205.0,273.5,14.25,LC BUY,295045,,Oil & Gas,,,,,
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED (XNSE:PARAS),4.11,670.9,698.45,668.7,716.5,404.7,972.5,28.18,WATCH,5407,,Aerospace & Defense,,,,,
ONE 97 COMMUNICATIONS LIMITED (XNSE:PAYTM),-0.71,1324.7,1315.3,1310.4,1335.5,651.5,1381.8,4.81,WATCH,84119,,Professional & Commercial Services,,,,,
PIDILITE INDUSTRIES LIMITED (XNSE:PIDILITIND),0.83,1446.6,1458.6,1445.0,1464.0,1306.87,1574.95,7.39,WATCH,147223,,Chemicals,,,,,
PI INDUSTRIES LIMITED (XNSE:PIIND),0.53,3218.2,3235.1,3203.6,3267.5,2951.1,4330.0,25.29,HMC BUY,48821,,Chemicals,,,,,
PRINCE PIPES AND FITTINGS LIMITED (XNSE:PRINCEPIPE),0.84,249.7,251.8,248.8,253.0,229.05,435.0,42.11,WATCH,2761,,Homebuilding & Construction Supplies,,,,,
RAYMOND LIMITED (XNSE:RAYMOND),-1.87,429.75,421.7,420.2,435.7,408.14,783.9,46.2,WATCH,2860,,Textiles & Apparel,,,,,
REC LIMITED (XNSE:RECLTD),0.66,354.75,357.1,353.55,360.45,330.95,544.7,34.44,SURE HMC BUY,93414,,Banking Services,,,,,
RELIANCE INDUSTRIES LIMITED (XNSE:RELIANCE),0.06,1558.2,1559.2,1554.3,1561.0,1114.85,1581.3,1.4,WATCH,2109983,,Oil & Gas,,,,,
RAIL VIKAS NIGAM LIMITED (XNSE:RVNL),12.22,345.7,387.95,345.85,392.8,301.2,501.8,22.69,HMC BUY,72079,,Construction & Engineering,,,,,
SAKUMA EXPORTS LIMITED (XNSE:SAKUMA),-1.37,2.19,2.16,2.13,2.19,2.11,4.04,46.53,WATCH,343,,Food & Drug Retailing,,,,,
SBI CARDS AND PAYMENT SERVICES LIMITED (XNSE:SBICARD),-0.35,867.6,864.6,862.8,875.0,663.05,1027.25,15.83,FIRST HMC BUY,82273,,Banking Services,,,,,
SBI Nifty IT ETF (XNSE:SBIETFIT),-0.87,427.47,423.76,422.73,427.47,335.0,510.0,16.91,WATCH,74,,#VALUE!,,,,,
SBI LIFE INSURANCE COMPANY LIMITED (XNSE:SBILIFE),-0.31,2025.4,2019.1,2004.1,2034.9,1372.55,2086.6,3.23,WATCH,203113,,Insurance,,,,,
State Bank of India (XNSE:SBIN),-0.27,968.95,966.3,964.75,971.0,680.0,999.0,3.27,WATCH,891955,,Banking Services,,,,,
SBI Nifty Next 50 ETF (XNSE:SETFNN50),-0.12,735.69,734.82,733.0,757.76,585.51,766.9,4.18,WATCH,2701,,#VALUE!,,,,,
SHAKTI PUMPS (INDIA) LIMITED (XNSE:SHAKTIPUMP),-0.9,741.75,735.05,730.05,749.0,548.45,1387.0,47.0,FIRST HSC BUY,9153,,"Machinery, Equipment & Components",,,,,
SHARDA MOTOR INDUSTRIES LIMITED (XNSE:SHARDAMOTR),-1.23,951.55,939.85,938.1,954.85,625.0,1248.0,24.69,WATCH,5463,,Automobiles & Auto Parts,,,,,
SHYAM METALICS AND ENERGY LIMITED (XNSE:SHYAMMETL),-0.67,823.75,818.2,816.05,829.35,628.25,1001.0,18.26,WATCH,22919,,Metals & Mining,,,,,
SIEMENS LIMITED (XNSE:SIEMENS),0.09,3098.0,3100.9,3088.4,3123.0,2376.45,3596.32,13.78,LC BUY,110326,,"Machinery, Equipment & Components",,,,,
Solar Industries India Limited (XNSE:SOLARINDS),-0.38,12485.0,12437.0,12410.0,12736.0,8482.5,17820.0,30.21,SURE LC BUY,112977,,Chemicals,,,,,
SHANKAR LAL RAMPAL DYE-CHEM LIMITED (XNSE:SRD),-3.51,70.67,68.19,67.4,71.0,52.0,94.86,28.12,WATCH,452,,Chemicals,,,,,
SRF LIMITED (XNSE:SRF),0.11,3098.2,3101.6,3093.9,3143.0,2196.85,3325.0,6.72,WATCH,91838,,Chemicals,,,,,
THE SUPREME INDUSTRIES LIMITED (XNSE:SUPREMEIND),-1.42,3320.3,3273.1,3265.0,3331.6,3095.0,4861.45,32.67,SURE HMC BUY,42177,,Chemicals,,,,,
SUPRIYA LIFESCIENCE LIMITED (XNSE:SUPRIYA),-2.37,756.3,738.4,735.4,760.85,556.15,842.0,12.3,WATCH,6087,,Pharmaceuticals,,,,,
TATA CHEMICALS LIMITED (XNSE:TATACHEM),-0.32,765.45,763.0,758.0,772.7,745.1,1107.0,31.07,MC BUY,19500,,Chemicals,,,,,
TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),-0.3,1179.2,1175.7,1172.0,1179.8,890.0,1202.8,2.25,WATCH,116687,,Food & Tobacco,,,,,
TATA ELXSI LIMITED (XNSE:TATAELXSI),-0.73,5387.5,5348.0,5335.0,5425.0,4700.0,7037.7,24.01,FIRST MC BUY,33562,,Software & IT Services,,,,,
THE TATA POWER COMPANY LIMITED (XNSE:TATAPOWER),-0.04,379.7,379.55,378.1,381.9,326.35,416.8,8.94,WATCH,121327,,Electrical Utilities & IPPs,,,,,
TATA STEEL LIMITED (XNSE:TATASTEEL),-0.56,170.07,169.12,167.82,169.9,122.62,186.94,9.53,WATCH,212307,,Metals & Mining,,,,,
TATA TECHNOLOGIES LIMITED (XNSE:TATATECH),-0.46,657.6,654.55,652.45,662.05,594.35,918.8,28.76,FIRST MC BUY,26682,,Integrated Hardware & Software,,,,,
TATA CONSULTANCY SERVICES LIMITED (XNSE:TCS),-1.18,3319.0,3280.0,3271.8,3320.0,2866.6,4255.12,22.92,SURE HLC BUY,1186733,,Software & IT Services,,,,,
TECH MAHINDRA LIMITED (XNSE:TECHM),-1.18,1631.5,1612.3,1608.0,1633.7,1209.4,1773.6,9.09,WATCH,159842,,Software & IT Services,,,,,
TITAGARH RAIL SYSTEMS LIMITED (XNSE:TITAGARH),5.05,854.6,897.75,845.95,906.0,654.55,1330.0,32.5,MC BUY,11509,,"Machinery, Equipment & Components",,,,,
TITAN COMPANY LIMITED (XNSE:TITAN),2.12,3909.3,3992.0,3900.0,4006.9,2925.0,4006.9,0.37,WATCH,346773,,Textiles & Apparel,,,,,
TATA MOTORS LIMITED (XNSE:TMCV),-0.02,408.75,408.65,403.4,416.5,306.3,432.3,5.47,WATCH,150515,,Automobiles & Auto Parts,,,,,
TATA MOTORS PASSENGER VEHICLES LIMITED (XNSE:TMPV),-0.11,359.2,358.8,354.7,360.4,324.33,490.35,26.83,SURE LC BUY,132269,,Automobiles & Auto Parts,,,,,
TRENT LIMITED (XNSE:TRENT),-0.1,4289.6,4285.3,4263.0,4338.4,3930.1,7493.05,42.81,SURE LC BUY,152490,,Diversified Retail,,,,,
TRIDENT LIMITED (XNSE:TRIDENT),-0.52,27.02,26.88,26.85,27.13,23.11,34.87,22.91,FIRST MC BUY,13768,,Textiles & Apparel,,,,,
ULTRATECH CEMENT LIMITED (XNSE:ULTRACEMCO),0.26,11764.0,11794.0,11743.0,11855.0,10047.85,13097.0,9.95,WATCH,346848,,Construction Materials,,,,,
UNO MINDA LIMITED (XNSE:UNOMINDA),-1.62,1292.3,1271.4,1263.7,1296.0,767.6,1382.0,8.0,WATCH,74572,,Automobiles & Auto Parts,,,,,
VARUN BEVERAGES LIMITED (XNSE:VBL),1.09,477.65,482.85,475.1,483.5,419.55,663.6,27.24,SURE LC BUY,161541,,Beverages,,,,,
VOLTAS LIMITED (XNSE:VOLTAS),-0.98,1394.7,1381.1,1377.0,1412.4,1135.0,1859.4,25.72,HMC BUY,46148,,"Machinery, Equipment & Components",,,,,
WIPRO LIMITED (XNSE:WIPRO),-0.66,268.06,266.3,265.74,268.88,228.0,324.6,17.96,LC BUY,280790,,Software & IT Services,,,,,
ZEN TECHNOLOGIES LIMITED (XNSE:ZENTEC),-1.21,1391.6,1374.8,1367.2,1407.8,945.35,2627.0,47.67,SURE MC BUY,12361,,Aerospace & Defense,,,,,
