symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
ULTRACEMCO,5,5,2,3,3,42.08,4.77,11.34,0.3,0.57,0.57,59.7,277.79,2448.89,3438548877312.0,2026-05-27,yfinance
VEDL,2,2,4,2,2,19.78,3.45,17.42,0.0,2.84,2.84,0.0,17.93,102.93,1385033236480.0,2026-05-27,yfinance
WIPRO,2,2,2,3,3,16.04,2.4,14.97,0.2,-1.06,-1.06,72.9,12.57,83.95,2114647752704.0,2026-05-27,yfinance
AARTIIND,7,6,1,2,2,43.39,3.04,7.0,0.0,1.99,1.99,0.0,11.54,164.74,181804548096.0,2026-05-27,yfinance
ABCAPITAL,7,6,2,2,2,25.64,2.78,10.83,0.0,0.51,0.51,0.0,14.23,131.39,956335325184.0,2026-05-27,yfinance
ABFRL,3,3,3,2,2,0.0,1.24,0.0,0.0,-1.25,-1.25,0.0,-6.38,51.53,77921787904.0,2026-05-27,yfinance
ABREL,2,2,3,2,2,0.0,3.74,0.0,0.0,-1.25,-1.25,0.0,-29.56,334.58,138531930112.0,2026-05-27,yfinance
AFFLE,3,3,2,2,2,45.8,5.68,12.4,0.0,-0.61,-0.61,0.0,32.25,260.06,207754330112.0,2026-05-27,yfinance
AIAENG,7,6,4,2,2,32.58,5.61,17.21,0.0,6.87,6.87,0.0,135.9,789.43,413231939584.0,2026-05-27,yfinance
ALIVUS,6,6,4,2,2,23.31,3.95,16.94,0.0,-1.87,-1.87,0.0,45.92,271.02,131368034304.0,2026-05-27,yfinance
ALKEM,6,6,4,2,2,27.46,4.88,17.78,0.0,1.33,1.33,0.0,198.52,1116.26,651808604160.0,2026-05-27,yfinance
APLAPOLLO,5,5,5,2,2,43.14,9.79,22.7,0.0,-0.34,-0.34,0.0,43.29,190.73,518582566912.0,2026-05-27,yfinance
APOLLOTYRE,2,2,1,2,2,18.45,1.51,8.2,0.0,1.65,1.65,0.0,21.67,264.12,252874375168.0,2026-05-27,yfinance
ASTRAL,6,6,2,2,2,80.37,10.58,13.17,0.0,1.25,1.25,0.0,19.89,151.08,429464158208.0,2026-05-27,yfinance
ATUL,6,6,2,2,2,30.42,3.31,10.89,0.0,-0.22,-0.22,0.0,230.19,2113.36,206165901312.0,2026-05-27,yfinance
AUBANK,7,6,2,1,1,28.71,3.76,13.1,1.0,-0.67,-0.67,25.2,35.01,267.24,752100573184.0,2026-05-27,yfinance
AUROPHARMA,6,6,1,2,3,23.79,2.2,9.25,0.4,-1.73,-1.73,52.1,60.35,652.31,826185154560.0,2026-05-27,yfinance
BALKRISIND,3,3,2,2,2,34.12,3.87,11.35,0.0,-0.36,-0.36,0.0,64.32,566.68,424273215488.0,2026-05-27,yfinance
BATAINDIA,2,2,2,2,2,50.08,5.84,11.67,0.0,-0.87,-0.87,0.0,13.83,118.5,89018171392.0,2026-05-27,yfinance
BDL,2,2,2,2,3,81.0,11.14,13.76,0.0,-3.59,-3.59,86.0,15.83,115.06,470006398976.0,2026-05-27,yfinance
BEML,5,5,1,3,3,61.33,5.45,8.89,0.3,-0.66,-0.66,54.0,29.88,336.14,152635424768.0,2026-05-27,yfinance
BHARATFORG,7,6,2,2,2,85.82,9.68,11.28,0.6,0.42,0.42,45.4,22.59,200.19,926822629376.0,2026-05-27,yfinance
BSE,7,6,6,2,3,80.4,21.94,27.29,0.0,-3.52,-3.52,51.0,52.84,193.6,1725398777856.0,2026-05-27,yfinance
